X,Y,field_1,cat,x,y,z,slope,distance,label
-335710.435463748,782874.424969035,75,234,-335710.435463747999165,782874.424969034967944,349.000000000000000,0.081661810000000,601095.402898536412977,-1
-644703.420464713,781874.617569201,79,238,-644703.420464713010006,781874.617569201043807,259.000000000000000,0.258830700000000,826613.075099262758158,-1
-267711.979217581,781874.617569201,80,239,-267711.979217580985278,781874.617569201043807,334.000000000000000,0.419399200000000,561192.740049163228832,-1
-182713.908909872,781874.617569201,81,240,-182713.908909871999640,781874.617569201043807,75.000000000000000,0.000000000000000,513702.475141861999873,-1
-684702.512374223,780874.810169366,82,242,-684702.512374222977087,780874.810169365955517,259.000000000000000,0.211502400000000,856778.588701948639937,-1
-572705.055027595,780874.810169366,83,243,-572705.055027595022693,780874.810169365955517,179.000000000000000,0.020259300000000,768137.026544225518592,-1
-436708.142535261,780874.810169366,84,244,-436708.142535260994919,780874.810169365955517,176.000000000000000,0.000000000000000,666305.361769413226284,-1
-204713.409460103,780874.810169366,85,245,-204713.409460102993762,780874.810169365955517,75.000000000000000,0.000000000000000,524373.036045340355486,-1
-174714.09052797,780874.810169366,86,246,-174714.090527969994582,780874.810169365955517,75.000000000000000,0.000000000000000,508819.138080927485134,-1
-99715.7931976391,780874.810169366,87,247,-99715.793197639097343,780874.810169365955517,75.000000000000000,0.000000000000000,461854.611332973290700,-1
-78716.2699451463,780874.810169366,88,248,-78716.269945146297687,780874.810169365955517,75.000000000000000,0.000000000000000,446481.936140564270318,-1
-68716.4969677688,780874.810169366,89,249,-68716.496967768805916,780874.810169365955517,75.000000000000000,0.000000000000000,439325.380155226332135,-1
43280.9603788594,780874.810169366,90,250,43280.960378859403136,780874.810169365955517,75.000000000000000,0.000000000000000,365196.538681392208673,-1
60280.574440401,780874.810169366,91,251,60280.574440400996536,780874.810169365955517,75.000000000000000,0.293782200000000,354073.356670907989610,-1
125279.098793355,780874.810169366,92,252,125279.098793355005910,780874.810169365955517,533.000000000000000,0.166151800000000,316397.353568814229220,-1
-731701.445367898,779875.002769531,94,254,-731701.445367897977121,779875.002769530983642,210.000000000000000,0.036525830000000,893100.390460136579350,-1
